run,repeat,problem,seed,strategy,executed_strategy,objective_sense,optimizer_goal,optimizer_goal_effective,optimizer_goal_mode,optimizer_score_goal,optimizer_score_goal_source,optimizer_best_objective,optimizer_best_objective_raw,optimizer_internal_goal_hit,optimizer_goal_hit,optimizer_score_goal_hit,focus3_best_objective,focus3_internal_goal_hit,focus3_goal_hit,focus3_score_goal_hit,archive_only_goal_hit,score_archive_only_goal_hit,focus3_eval_count,focus3_improved_count,source_prob_topk,source_prob_best_local,source_prob_correlated_local,source_prob_boundary,source_prob_random,focus3_selected_topk,focus3_selected_best_local,focus3_selected_correlated_local,focus3_selected_local_probe,focus3_selected_boundary,focus3_selected_random,focus3_best_score_correlated_local,focus3_best_score_best_local,focus3_near_goal_exploitation_active,focus3_goal_free_plateau_applied,focus3_goal_free_plateau_state,focus3_acq_effective,focus3_recover_active,focus3_recover_no_improve_count,optimizer_n_iterations,modeler_all_real_included,modeler_all_real_only,modeler_selected_features,selected_feature_count,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,survivor_optimum_included,volume_ratio,volume_ratio_pct,volume_cap_pass,explorer_bounds_pass,explorer_joint_pass,optimizer_final_pass,optimizer_score_final_pass,optimizer_csv,optimizer_metadata,explorer_metadata,selected_bounds_path,run_root
11,11,cantilever_beam,10042,S4_dual,S4_dual,min,,,off,114.66,score_goal,95.60609261330477,95.60609261330477,False,True,True,95.60609261330475,False,True,True,False,False,60,3,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,22,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24990000000015608,24.99000000001561,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093540_084370_7db4\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093540_084370_7db4\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093540_084370_7db4\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093540_084370_7db4\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093540_084370_7db4
12,12,cantilever_beam,11042,S4_dual,S4_dual,min,,,off,114.66,score_goal,97.6549013786423,97.6549013786423,False,True,True,97.6549013786423,False,True,True,False,False,60,5,0.8727272727272728,0.0,,0.0272727272727272,0.1,0,0,0,0,0,0,,,False,False,nan,EI,False,0,60,True,True,"[""h1"", ""b2"", ""b1"", ""H""]",4,4,0,100.0,True,0.24990000000041226,24.990000000041228,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093823_206654_1152\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093823_206654_1152\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093823_206654_1152\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093823_206654_1152\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093823_206654_1152
13,13,cantilever_beam,12042,S4_dual,S4_dual,min,,,off,114.66,score_goal,134.15457952288273,134.15457952288273,False,False,False,134.15457952288273,False,False,False,False,False,59,8,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,41,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,False,0.2499,24.990000000000002,True,False,False,False,False,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094015_848058_9b32\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094015_848058_9b32\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094015_848058_9b32\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094015_848058_9b32\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094015_848058_9b32
14,14,cantilever_beam,13042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.8062819591356,92.8062819591356,False,True,True,92.8062819591356,False,True,True,False,False,60,6,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,40,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24990000000005572,24.990000000005573,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094236_431262_4ced\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094236_431262_4ced\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094236_431262_4ced\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094236_431262_4ced\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094236_431262_4ced
15,15,cantilever_beam,14042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.79986882330408,92.79986882330408,False,True,True,92.79986882330408,False,True,True,False,False,60,7,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,43,60,True,True,"[""b1"", ""h1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24990000000035711,24.99000000003571,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094519_445692_4984\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094519_445692_4984\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094519_445692_4984\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094519_445692_4984\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094519_445692_4984
16,16,cantilever_beam,15042,S4_dual,S4_dual,min,,,off,114.66,score_goal,95.83069716026245,95.83069716026245,False,True,True,95.83069716026245,False,True,True,False,False,60,2,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,43,60,True,True,"[""h1"", ""b2"", ""b1"", ""H""]",4,4,0,100.0,True,0.24990000000000015,24.990000000000016,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094753_211733_9b99\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094753_211733_9b99\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094753_211733_9b99\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094753_211733_9b99\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_094753_211733_9b99
17,17,cantilever_beam,16042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.52748025316383,93.52748025316383,False,True,True,93.52748025316384,False,True,True,False,False,60,3,0.8727272727272728,0.0,,0.0272727272727272,0.1,0,0,0,0,0,0,,,False,False,nan,EI,False,0,60,True,True,"[""b1"", ""h1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24990000000003731,24.990000000003732,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095009_590612_8944\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095009_590612_8944\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095009_590612_8944\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095009_590612_8944\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095009_590612_8944
18,18,cantilever_beam,17042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.97142983106656,92.97142983106656,False,True,True,92.97142983106656,False,True,True,False,False,60,6,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,30,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24990000000046533,24.990000000046532,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095237_712721_0050\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095237_712721_0050\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095237_712721_0050\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095237_712721_0050\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095237_712721_0050
19,19,cantilever_beam,18042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.20290250224609,93.20290250224609,False,True,True,93.20290250224608,False,True,True,False,False,60,5,0.8451465493943935,0.0,,0.029481856374223,0.1253715942313834,0,0,0,0,0,0,,,False,False,nan,LCB,True,8,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24990000000025095,24.990000000025095,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095524_635166_0585\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095524_635166_0585\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095524_635166_0585\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095524_635166_0585\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095524_635166_0585
20,20,cantilever_beam,19042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.61611130349792,93.61611130349792,False,True,True,93.61611130349792,False,True,True,False,False,60,6,0.8451465493943935,0.0,,0.029481856374223,0.1253715942313834,0,0,0,0,0,0,,,False,False,nan,LCB,True,8,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,False,0.24990000000002777,24.990000000002777,True,False,False,False,False,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095746_065986_71ca\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095746_065986_71ca\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095746_065986_71ca\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095746_065986_71ca\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095746_065986_71ca
