run,repeat,problem,seed,selected_feature_count,modeler_selected_features,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,fi_all_real_included,fi_real_only_success,modeler_metadata,run_root
17,17,cantilever_beam,16042,4,"[""b1"", ""h1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095009_590612_8944\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095009_590612_8944
18,18,cantilever_beam,17042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095237_712721_0050\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095237_712721_0050
19,19,cantilever_beam,18042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095524_635166_0585\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095524_635166_0585
20,20,cantilever_beam,19042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095746_065986_71ca\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_095746_065986_71ca
21,21,cantilever_beam,20042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_100024_740798_c14e\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_100024_740798_c14e
22,22,cantilever_beam,21042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_100240_628802_5844\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_100240_628802_5844
23,23,cantilever_beam,22042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_100515_978142_46fb\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_100515_978142_46fb
24,24,cantilever_beam,23042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_100756_061974_2aaa\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_100756_061974_2aaa
25,25,cantilever_beam,24042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_101009_932464_68ce\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_101009_932464_68ce
26,1,rosenbrock,43,5,"[""x4"", ""x3"", ""x2"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_101303_010183_5148\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_101303_010183_5148
27,2,rosenbrock,1043,5,"[""x4"", ""x2"", ""x3"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_103008_738779_0c91\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_103008_738779_0c91
28,3,rosenbrock,2043,5,"[""x3"", ""x4"", ""x2"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_104546_450234_6e68\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_104546_450234_6e68
29,4,rosenbrock,3043,5,"[""x3"", ""x4"", ""x2"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_110019_438224_cedd\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_110019_438224_cedd
