run,repeat,problem,seed,selected_feature_count,modeler_selected_features,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,fi_all_real_included,fi_real_only_success,modeler_metadata,run_root
17,17,cantilever_beam,16042,4,"[""b1"", ""h1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123550_514318_0f86\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123550_514318_0f86
18,18,cantilever_beam,17042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123816_890642_39a6\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123816_890642_39a6
19,19,cantilever_beam,18042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124103_339903_fc72\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124103_339903_fc72
20,20,cantilever_beam,19042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124315_444064_7e3b\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124315_444064_7e3b
21,21,cantilever_beam,20042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124547_331927_1a18\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124547_331927_1a18
22,22,cantilever_beam,21042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124802_751680_231c\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124802_751680_231c
23,23,cantilever_beam,22042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_125005_444513_7d9e\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_125005_444513_7d9e
24,24,cantilever_beam,23042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_125240_207046_8a64\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_125240_207046_8a64
25,25,cantilever_beam,24042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_125502_832910_f765\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_125502_832910_f765
26,1,rosenbrock,43,5,"[""x4"", ""x3"", ""x2"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_125759_289120_3b73\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_125759_289120_3b73
