run,repeat,problem,seed,strategy,executed_strategy,objective_sense,optimizer_goal,optimizer_goal_effective,optimizer_goal_mode,optimizer_score_goal,optimizer_score_goal_source,optimizer_best_objective,optimizer_best_objective_raw,optimizer_internal_goal_hit,optimizer_goal_hit,optimizer_score_goal_hit,focus3_best_objective,focus3_internal_goal_hit,focus3_goal_hit,focus3_score_goal_hit,archive_only_goal_hit,score_archive_only_goal_hit,focus3_eval_count,focus3_improved_count,source_prob_topk,source_prob_best_local,source_prob_correlated_local,source_prob_boundary,source_prob_random,focus3_selected_topk,focus3_selected_best_local,focus3_selected_correlated_local,focus3_selected_local_probe,focus3_selected_boundary,focus3_selected_random,focus3_best_score_correlated_local,focus3_best_score_best_local,focus3_near_goal_exploitation_active,focus3_goal_free_plateau_applied,focus3_goal_free_plateau_state,focus3_acq_effective,focus3_recover_active,focus3_recover_no_improve_count,optimizer_n_iterations,modeler_all_real_included,modeler_all_real_only,modeler_selected_features,selected_feature_count,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,survivor_optimum_included,volume_ratio,volume_ratio_pct,volume_cap_pass,explorer_bounds_pass,explorer_joint_pass,optimizer_final_pass,optimizer_score_final_pass,optimizer_csv,optimizer_metadata,explorer_metadata,selected_bounds_path,run_root
11,11,cantilever_beam,10042,S4_dual,S4_dual,min,,,off,114.66,score_goal,94.17866598834945,94.17866598834945,False,True,True,94.17866598834944,False,True,True,False,False,60,2,0.8662305436498985,0.0,,0.0270697044890593,0.1066997518610421,0,0,0,0,0,0,,,False,False,nan,LCB,True,6,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24989999999999996,24.989999999999995,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122204_675104_d27c\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122204_675104_d27c\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122204_675104_d27c\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122204_675104_d27c\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122204_675104_d27c
12,12,cantilever_beam,11042,S4_dual,S4_dual,min,,,off,114.66,score_goal,97.33470902522511,97.33470902522511,False,True,True,97.33470902522512,False,True,True,False,False,60,5,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,12,60,True,True,"[""h1"", ""b2"", ""b1"", ""H""]",4,4,0,100.0,True,0.24989999999999993,24.98999999999999,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122439_443334_8793\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122439_443334_8793\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122439_443334_8793\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122439_443334_8793\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122439_443334_8793
13,13,cantilever_beam,12042,S4_dual,S4_dual,min,,,off,114.66,score_goal,134.15457952288273,134.15457952288273,False,False,False,134.15457952288273,False,False,False,False,False,59,8,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,41,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,False,0.2499,24.990000000000002,True,False,False,False,False,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122630_238473_fb08\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122630_238473_fb08\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122630_238473_fb08\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122630_238473_fb08\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122630_238473_fb08
14,14,cantilever_beam,13042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.80508265297276,93.80508265297276,False,True,True,93.80508265297276,False,True,True,False,False,60,12,0.8727272727272728,0.0,,0.0272727272727272,0.1,0,0,0,0,0,0,,,False,False,nan,EI,False,0,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.2498999999999999,24.98999999999999,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122845_172065_970e\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122845_172065_970e\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122845_172065_970e\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122845_172065_970e\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_122845_172065_970e
15,15,cantilever_beam,14042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.15407817823089,93.15407817823089,False,True,True,93.15407817823088,False,True,True,False,False,60,9,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,35,60,True,True,"[""b1"", ""h1"", ""b2"", ""H""]",4,4,0,100.0,True,0.2499,24.990000000000002,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123119_852847_8ed0\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123119_852847_8ed0\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123119_852847_8ed0\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123119_852847_8ed0\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123119_852847_8ed0
16,16,cantilever_beam,15042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.186506449043,93.186506449043,False,True,True,93.186506449043,False,True,True,False,False,60,2,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,32,60,True,True,"[""h1"", ""b2"", ""b1"", ""H""]",4,4,0,100.0,True,0.24989999999999998,24.99,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123343_500568_f72b\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123343_500568_f72b\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123343_500568_f72b\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123343_500568_f72b\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123343_500568_f72b
17,17,cantilever_beam,16042,S4_dual,S4_dual,min,,,off,114.66,score_goal,94.10026979896062,94.10026979896062,False,True,True,94.10026979896062,False,True,True,False,False,60,5,0.8662305436498985,0.0,,0.0270697044890593,0.1066997518610421,0,0,0,0,0,0,,,False,False,nan,LCB,True,3,60,True,True,"[""b1"", ""h1"", ""b2"", ""H""]",4,4,0,100.0,True,0.2498999999999999,24.98999999999999,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123550_514318_0f86\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123550_514318_0f86\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123550_514318_0f86\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123550_514318_0f86\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123550_514318_0f86
18,18,cantilever_beam,17042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.98382295143759,92.98382295143759,False,True,True,92.9838229514376,False,True,True,False,False,60,1,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,56,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24989999999999996,24.989999999999995,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123816_890642_39a6\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123816_890642_39a6\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123816_890642_39a6\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123816_890642_39a6\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_123816_890642_39a6
19,19,cantilever_beam,18042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.3880134879685,93.3880134879685,False,True,True,93.3880134879685,False,True,True,False,False,60,5,0.8662305436498985,0.0,,0.0270697044890593,0.1066997518610421,0,0,0,0,0,0,,,False,False,nan,LCB,True,3,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.2499,24.990000000000002,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124103_339903_fc72\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124103_339903_fc72\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124103_339903_fc72\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124103_339903_fc72\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124103_339903_fc72
20,20,cantilever_beam,19042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.4154992984191,93.4154992984191,False,True,True,93.4154992984191,False,True,True,False,False,60,4,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,23,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,False,0.2498999999999998,24.98999999999998,True,False,False,False,False,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124315_444064_7e3b\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124315_444064_7e3b\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124315_444064_7e3b\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124315_444064_7e3b\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_124315_444064_7e3b
