run,problem,feature,is_real,reason,final_score_adj,global_score,perm_selection_rate,drop_selection_rate,stability_pass,null_margin,disagreement,gap_filtered,drop_veto,bootstrap_freq,bootstrap_filtered,bootstrap_rescued
run_rosenbrock_20260327_083543_793692_5cc8,rosenbrock,x4,True,weighted_vote_pass,0.9628462341292636,0.9896,0.989,0.992,True,0.4283166666666669,0.0029999999999997,,False,,,
run_rosenbrock_20260327_083543_793692_5cc8,rosenbrock,x5,True,weighted_vote_pass,0.9468666666666667,0.9468666666666667,0.956,0.9103333333333332,True,0.4254700000000001,0.0456666666666666,,False,,,
run_rosenbrock_20260327_083930_608930_524d,rosenbrock,x3,True,weighted_vote_pass,0.9986,0.9986,0.999,0.997,True,0.4734533333333334,0.002,,False,,,
run_rosenbrock_20260327_083930_608930_524d,rosenbrock,x2,True,weighted_vote_pass,0.9854,0.9854,0.985,0.987,True,0.4373783333333334,0.002,,False,,,
run_rosenbrock_20260327_083930_608930_524d,rosenbrock,x4,True,weighted_vote_pass,0.9510711330554056,0.9702,0.97,0.971,True,0.4347933333333335,0.001,,False,,,
run_rosenbrock_20260327_083930_608930_524d,rosenbrock,x5,True,weighted_vote_pass,0.9091333333333332,0.9091333333333332,0.956,0.7216666666666666,True,0.3810483333333334,0.2343333333333334,,False,,,
run_rosenbrock_20260401_112619_456562_62aa,rosenbrock,x3,True,weighted_vote_pass,0.9962,0.9962,0.996,0.997,True,0.4546083333333335,0.001,False,False,,,
run_rosenbrock_20260401_112619_456562_62aa,rosenbrock,x4,True,weighted_vote_pass,0.970455688818654,0.9828,0.983,0.982,True,0.4172366666666668,0.001,False,False,,,
run_rosenbrock_20260401_112619_456562_62aa,rosenbrock,x2,True,weighted_vote_pass,0.9680217673732024,0.9760000000000002,0.976,0.976,True,0.4328450000000001,0.0,False,False,,,
run_rosenbrock_20260401_112619_456562_62aa,rosenbrock,x1,True,weighted_vote_pass,0.76825,0.8612,0.945,0.526,True,0.2595216666666666,0.4189999999999999,False,False,,,
run_six_hump_camel_20260326_185734_067610_802a,six_hump_camel,x1,True,weighted_vote_pass,0.9487919535491408,0.981,0.98375,0.9654166666666666,True,0.2603921875,0.0183333333333334,,False,1.0,,
run_six_hump_camel_20260326_185734_067610_802a,six_hump_camel,x2,True,weighted_vote_pass,0.8250477282783972,0.8627916666666665,0.8604166666666665,0.87625,True,0.1646489583333332,0.0158333333333334,,False,1.0,,
run_six_hump_camel_20260326_185734_067610_802a,six_hump_camel,d1,False,weighted_vote_pass,0.5568012598239217,0.6576145833333332,0.7095833333333332,0.363125,True,-0.0234246875,0.3464583333333332,,False,0.7,,
run_six_hump_camel_20260326_190407_515343_0b7b,six_hump_camel,x1,True,weighted_vote_pass,0.9568479872554452,0.9703125,0.9675,0.98625,True,0.2553463541666666,0.01875,,False,1.0,,
run_six_hump_camel_20260326_190407_515343_0b7b,six_hump_camel,x2,True,weighted_vote_pass,0.8558701877380746,0.8919999999999999,0.8912499999999999,0.8962499999999999,True,0.1653713541666666,0.005,,False,1.0,,
run_six_hump_camel_20260326_190407_515343_0b7b,six_hump_camel,d3,False,weighted_vote_pass,0.8156501792687889,0.8467499999999999,0.8749999999999999,0.6866666666666666,True,0.1427135416666667,0.1883333333333332,,False,1.0,,
run_six_hump_camel_20260326_190705_612117_577a,six_hump_camel,x1,True,weighted_vote_pass,0.94989894401926,0.976875,0.975,0.9875,True,0.194396875,0.0125,,False,1.0,,
