run,feature,is_dummy,rank,selected_count,final_score_adj,global_score,bootstrap_freq,null_margin
run_six_hump_camel_20260326_185734_067610_802a,x1,False,1,3,0.9487919535491408,0.981,1.0,0.2603921875
run_six_hump_camel_20260326_185734_067610_802a,x2,False,2,3,0.8250477282783972,0.8627916666666665,1.0,0.1646489583333332
run_six_hump_camel_20260326_185734_067610_802a,d1,True,3,3,0.5568012598239217,0.6576145833333332,0.7,-0.0234246875
run_six_hump_camel_20260326_190407_515343_0b7b,x1,False,1,3,0.9568479872554452,0.9703125,1.0,0.2553463541666666
run_six_hump_camel_20260326_190407_515343_0b7b,x2,False,2,3,0.8558701877380746,0.8919999999999999,1.0,0.1653713541666666
run_six_hump_camel_20260326_190407_515343_0b7b,d3,True,3,3,0.8156501792687889,0.8467499999999999,1.0,0.1427135416666667
run_six_hump_camel_20260326_190705_612117_577a,x1,False,1,3,0.94989894401926,0.976875,1.0,0.194396875
run_six_hump_camel_20260326_190705_612117_577a,x2,False,2,3,0.797840083471787,0.8324687499999999,1.0,0.0432645833333332
run_six_hump_camel_20260326_190705_612117_577a,d2,True,3,3,0.7821258584455667,0.8215729166666667,0.9,0.0421973958333334
run_six_hump_camel_20260326_191124_594845_4e3d,x2,False,1,3,0.8431867646289419,0.8916249999999999,0.9,0.1633869791666666
run_six_hump_camel_20260326_191124_594845_4e3d,x1,False,2,3,0.8029630074181596,0.878875,1.0,0.1329411458333333
run_six_hump_camel_20260326_191124_594845_4e3d,d2,True,3,3,0.7102394192363831,0.7778333333333333,1.0,0.0359630208333333
run_six_hump_camel_20260326_191239_169828_f814,x2,False,1,3,0.881928703346431,0.907375,1.0,0.1203567708333334
run_six_hump_camel_20260326_191239_169828_f814,x1,False,2,3,0.8142247490422427,0.8704166666666666,0.9,0.063853125
run_six_hump_camel_20260326_191239_169828_f814,d2,True,3,3,0.6885243259466233,0.7625,0.7,-0.0255180989583333
run_six_hump_camel_20260326_191645_910769_a05a,x2,False,1,4,0.8701795882257481,0.9025,1.0,0.1231541666666666
run_six_hump_camel_20260326_191645_910769_a05a,x1,False,2,4,0.859977491655508,0.9021249999999998,0.9,0.1245302083333332
run_six_hump_camel_20260326_191645_910769_a05a,d2,True,3,4,0.7502964910500921,0.8032916666666666,0.7,0.0284791666666668
run_six_hump_camel_20260326_191645_910769_a05a,d3,True,4,4,0.6729027645352031,0.7498333333333332,0.8,-0.0045217708333333
run_six_hump_camel_20260326_191835_352913_972e,x1,False,1,4,0.9423750354048436,0.960625,1.0,0.1589635416666668
run_six_hump_camel_20260326_191835_352913_972e,x2,False,2,4,0.8082172870618312,0.83246875,0.7,0.0311059375000001
run_six_hump_camel_20260326_191835_352913_972e,d3,True,3,4,0.7149603551905978,0.7550937499999999,0.9,-0.067304427083333
run_six_hump_camel_20260326_191835_352913_972e,d2,True,4,4,0.5710919614648569,0.7063958333333333,0.7,-0.1197295572916663
run_six_hump_camel_20260327_104541_451488_de58,x1,False,1,3,0.9202387032469882,0.9393125,1.0,0.12326875
run_six_hump_camel_20260327_104541_451488_de58,x2,False,2,3,0.9134656449058656,0.9429999999999998,1.0,0.1362166666666667
run_six_hump_camel_20260327_104541_451488_de58,d1,True,3,3,0.5907463218331632,0.6695104166666666,0.8,-0.1555082812499999
run_six_hump_camel_20260327_105310_804199_95ff,x1,False,1,3,0.9724642889713178,0.9875625,1.0,0.2554973958333333
run_six_hump_camel_20260327_105310_804199_95ff,x2,False,2,3,0.910852463834216,0.9280625,1.0,0.2067255208333333
run_six_hump_camel_20260327_105310_804199_95ff,d2,True,3,3,0.6078197668520227,0.6809999999999998,1.0,-0.0289646354166667
run_six_hump_camel_20260327_110813_338848_9052,x2,False,1,3,0.8734239369549396,0.8841249999999998,1.0,0.1309604166666664
